r,t,y,DiscountedSalvageValue
RE1,PWRCOA001,2019,742.6879
RE1,PWRCOA001,2020,48.4792
RE1,PWRCOA001,2021,37.0552
RE1,PWRCOA001,2022,50.0848
RE1,PWRCOA001,2023,53.4074
RE1,PWRCOA001,2024,56.5659
RE1,PWRCOA001,2025,244.2326
RE1,PWRCOA001,2026,66.6477
RE1,PWRCOA001,2027,69.541
RE1,PWRCOA001,2028,190.7194
RE1,PWRCOA001,2032,83.601
RE1,PWRGEO,2025,0.2543
RE1,PWRSOL001,2042,68.5292
RE1,PWRSOL001,2043,160.6352
RE1,PWRSOL001,2044,17.3738
RE1,PWRSOL001,2045,2.6824
RE1,PWRSOL001,2049,82.698
RE1,PWRSOL001,2050,747.3
RE1,PWRSOL001,2051,315.0239
RE1,PWRSOL001,2052,247.8059
RE1,PWRSOL001,2053,256.3678
RE1,PWRSOL001,2054,273.6461
RE1,PWRSOL001,2055,3428.624
RE1,PWRSOL001,2056,391.8401
RE1,PWRSOL001,2057,450.9373
RE1,PWRSOL001,2058,728.4917
RE1,PWRSOL001,2059,961.5585
RE1,PWRSOL001,2060,205.1378
RE1,PWRSOL001,2061,1182.7044
RE1,PWRSOL001,2062,1196.736
RE1,PWRSOL001,2063,1253.7398
RE1,PWRSOL001,2064,732.593
RE1,PWRSOL001,2065,760.7521
RE1,PWRSOL001,2066,822.7075
RE1,PWRSOL001,2067,287.0784
RE1,PWRSOL001,2068,557.885
RE1,PWRSOL001,2069,1588.4105
RE1,PWRHYD001,2064,414.5153
RE1,PWRHYD002,2064,16.7059
RE1,PWRHYD003,2032,5.6885
RE1,PWRWND001,2042,124.3802
RE1,PWRWND001,2043,215.1624
RE1,PWRWND001,2044,647.1322
RE1,PWRWND001,2045,935.3251
RE1,PWRWND002,2046,1033.342
RE1,PWRWND002,2047,1347.0751
RE1,PWRWND002,2048,1489.8341
RE1,PWRWND002,2064,1178.8282
RE1,PWRWND002,2065,2020.3559
RE1,PWRWND002,2066,2030.0453
RE1,PWRWND002,2067,2327.7161
RE1,PWRWND002,2068,1933.1555
RE1,PWRWND002,2069,1629.1644
RE1,PWRSOL001S,2049,464.7353
RE1,PWRSOL001S,2066,104.864
RE1,PWRSOL001S,2067,460.8244
RE1,PWRSOL001S,2068,650.5811
RE1,PWRTRN,2025,22.2488
RE1,PWRTRN,2026,8.1027
RE1,PWRTRN,2027,10.2663
RE1,PWRTRN,2028,17.9188
RE1,PWRTRN,2029,56.5432
RE1,PWRTRN,2030,94.5903
RE1,PWRTRN,2031,80.5114
RE1,PWRTRN,2032,71.6586
RE1,PWRTRN,2033,73.7248
RE1,PWRTRN,2034,79.4991
RE1,PWRTRN,2035,81.6349
RE1,PWRTRN,2036,98.8828
RE1,PWRTRN,2037,89.7431
RE1,PWRTRN,2038,130.6839
RE1,PWRTRN,2039,192.6802
RE1,PWRTRN,2040,200.2188
RE1,PWRTRN,2041,189.2794
RE1,PWRTRN,2042,180.5583
RE1,PWRTRN,2043,209.2027
RE1,PWRTRN,2044,92.1347
RE1,PWRTRN,2045,91.4722
RE1,PWRTRN,2046,64.1584
RE1,PWRTRN,2049,374.5669
RE1,PWRTRN,2050,239.3157
