r,t,y,AnnualFixedOperatingCost
RE1,PWRHYD001,2021,201.5087
RE1,PWRHYD001,2022,201.5087
RE1,PWRHYD001,2023,201.5087
RE1,PWRHYD001,2024,201.5087
RE1,PWRHYD001,2025,201.5087
RE1,PWRHYD001,2026,201.5087
RE1,PWRHYD001,2027,201.5087
RE1,PWRHYD001,2028,201.5087
RE1,PWRHYD001,2029,201.5087
RE1,PWRHYD001,2030,201.5087
RE1,PWRHYD001,2031,201.5087
RE1,PWRHYD001,2032,201.5087
RE1,PWRHYD001,2033,201.5087
RE1,PWRHYD001,2034,201.5087
RE1,PWRHYD001,2035,201.5087
RE1,PWRHYD001,2036,201.5087
RE1,PWRHYD001,2037,201.5087
RE1,PWRHYD001,2038,201.5087
RE1,PWRHYD001,2039,201.5087
RE1,PWRHYD001,2040,201.5087
RE1,PWRHYD001,2041,201.5087
RE1,PWRHYD001,2042,201.5087
RE1,PWRHYD001,2043,201.5087
RE1,PWRHYD001,2044,201.5087
RE1,PWRHYD001,2045,201.5087
RE1,PWRHYD001,2046,201.5087
RE1,PWRHYD001,2047,201.5087
RE1,PWRHYD001,2048,201.5087
RE1,PWRHYD001,2049,201.5087
RE1,PWRHYD001,2050,201.5087
RE1,PWRHYD001,2051,201.5087
RE1,PWRHYD001,2052,201.5087
RE1,PWRHYD001,2053,201.5087
RE1,PWRHYD001,2054,201.5087
RE1,PWRHYD001,2055,201.5087
RE1,PWRHYD001,2056,201.5087
RE1,PWRHYD001,2057,201.5087
RE1,PWRHYD001,2058,201.5087
RE1,PWRHYD001,2059,201.5087
RE1,PWRHYD001,2060,201.5087
RE1,PWRHYD001,2061,201.5087
RE1,PWRHYD001,2062,201.5087
RE1,PWRHYD001,2063,201.5087
RE1,PWRHYD001,2064,201.5087
RE1,PWRHYD001,2065,201.5087
RE1,PWRHYD001,2066,201.5087
RE1,PWRHYD001,2067,201.5087
RE1,PWRHYD001,2068,201.5087
RE1,PWRHYD001,2069,201.5087
RE1,PWRHYD001,2070,201.5087
RE1,PWRHYD002,2015,7.0723
RE1,PWRHYD002,2016,7.0723
RE1,PWRHYD002,2017,7.0723
RE1,PWRHYD002,2018,7.0723
RE1,PWRHYD002,2019,7.0723
RE1,PWRHYD002,2020,7.0723
RE1,PWRHYD002,2021,8.4823
RE1,PWRHYD002,2022,8.4823
RE1,PWRHYD002,2023,8.4823
RE1,PWRHYD002,2024,8.4823
RE1,PWRHYD002,2025,8.4823
RE1,PWRHYD002,2026,8.4823
RE1,PWRHYD002,2027,8.4823
RE1,PWRHYD002,2028,8.4823
RE1,PWRHYD002,2029,8.4823
RE1,PWRHYD002,2030,8.4823
RE1,PWRHYD002,2031,8.4823
RE1,PWRHYD002,2032,8.4823
RE1,PWRHYD002,2033,8.4823
RE1,PWRHYD002,2034,8.4823
RE1,PWRHYD002,2035,8.4823
RE1,PWRHYD002,2036,8.4823
RE1,PWRHYD002,2037,8.4823
RE1,PWRHYD002,2038,8.4823
RE1,PWRHYD002,2039,8.4823
RE1,PWRHYD002,2040,8.4823
RE1,PWRHYD002,2041,8.4823
RE1,PWRHYD002,2042,8.4823
RE1,PWRHYD002,2043,8.4823
RE1,PWRHYD002,2044,8.4823
RE1,PWRHYD002,2045,8.4823
RE1,PWRHYD002,2046,8.4823
RE1,PWRHYD002,2047,8.4823
RE1,PWRHYD002,2048,8.4823
RE1,PWRHYD002,2049,8.4823
RE1,PWRHYD002,2050,8.4823
RE1,PWRHYD002,2051,8.4823
RE1,PWRHYD002,2052,8.4823
RE1,PWRHYD002,2053,8.4823
RE1,PWRHYD002,2054,8.4823
RE1,PWRHYD002,2055,8.4823
RE1,PWRHYD002,2056,8.4823
RE1,PWRHYD002,2057,8.4823
RE1,PWRHYD002,2058,8.4823
RE1,PWRHYD002,2059,8.4823
RE1,PWRHYD002,2060,8.4823
RE1,PWRHYD002,2061,8.4823
RE1,PWRHYD002,2062,8.4823
RE1,PWRHYD002,2063,8.4823
RE1,PWRHYD002,2064,8.4823
RE1,PWRHYD002,2065,8.4823
RE1,PWRHYD002,2066,8.4823
RE1,PWRHYD002,2067,8.4823
RE1,PWRHYD002,2068,8.4823
RE1,PWRHYD002,2069,8.4823
RE1,PWRHYD002,2070,8.4823
RE1,PWRHYD003,2022,40.8618
RE1,PWRHYD003,2023,40.8618
RE1,PWRHYD003,2024,40.8618
RE1,PWRHYD003,2025,40.8618
RE1,PWRHYD003,2026,40.8618
RE1,PWRHYD003,2027,40.8618
RE1,PWRHYD003,2028,40.8618
RE1,PWRHYD003,2029,40.8618
RE1,PWRHYD003,2030,40.8618
RE1,PWRHYD003,2031,40.8618
RE1,PWRHYD003,2032,40.8618
RE1,PWRHYD003,2033,40.8618
RE1,PWRHYD003,2034,40.8618
RE1,PWRHYD003,2035,40.8618
RE1,PWRHYD003,2036,40.8618
RE1,PWRHYD003,2037,40.8618
RE1,PWRHYD003,2038,40.8618
RE1,PWRHYD003,2039,40.8618
RE1,PWRHYD003,2040,40.8618
RE1,PWRHYD003,2041,40.8618
RE1,PWRHYD003,2042,40.8618
RE1,PWRHYD003,2043,40.8618
RE1,PWRHYD003,2044,40.8618
RE1,PWRHYD003,2045,40.8618
RE1,PWRHYD003,2046,40.8618
RE1,PWRHYD003,2047,40.8618
RE1,PWRHYD003,2048,40.8618
RE1,PWRHYD003,2049,40.8618
RE1,PWRHYD003,2050,40.8618
RE1,PWRHYD003,2051,40.8618
RE1,PWRHYD003,2052,40.8618
RE1,PWRHYD003,2053,40.8618
RE1,PWRHYD003,2054,40.8618
RE1,PWRHYD003,2055,40.8618
RE1,PWRHYD003,2056,40.8618
RE1,PWRHYD003,2057,40.8618
RE1,PWRHYD003,2058,40.8618
RE1,PWRHYD003,2059,40.8618
RE1,PWRHYD003,2060,40.8618
RE1,PWRHYD003,2061,40.8618
RE1,PWRHYD003,2062,40.8618
RE1,PWRHYD003,2063,40.8618
RE1,PWRHYD003,2064,40.8618
RE1,PWRHYD003,2065,40.8618
RE1,PWRHYD003,2066,40.8618
RE1,PWRHYD003,2067,40.8618
RE1,PWRHYD003,2068,40.8618
RE1,PWRHYD003,2069,40.8618
RE1,PWRHYD003,2070,40.8618
RE1,PWRWND001,2015,24.8609
RE1,PWRWND001,2016,23.6185
RE1,PWRWND001,2017,22.376
RE1,PWRWND001,2018,21.1336
RE1,PWRWND001,2019,19.8912
RE1,PWRWND001,2020,18.6488
RE1,PWRWND001,2021,17.9023
RE1,PWRWND001,2022,16.9108
RE1,PWRWND001,2023,16.175
RE1,PWRWND001,2024,15.4392
RE1,PWRWND001,2025,14.7034
RE1,PWRWND001,2026,461.9685
RE1,PWRWND001,2027,1534.1899
RE1,PWRWND001,2028,1794.5198
RE1,PWRWND001,2029,1747.7706
RE1,PWRWND001,2030,1748.7611
RE1,PWRWND001,2031,3116.7332
RE1,PWRWND001,2032,3473.0373
RE1,PWRWND001,2033,4014.2189
RE1,PWRWND001,2034,4149.0667
RE1,PWRWND001,2035,4316.815
RE1,PWRWND001,2036,4614.9477
RE1,PWRWND001,2037,4886.0325
RE1,PWRWND001,2038,4978.5087
RE1,PWRWND001,2039,4978.5087
RE1,PWRWND001,2040,6100.7009
RE1,PWRWND001,2041,6542.4988
RE1,PWRWND001,2042,6966.1295
RE1,PWRWND001,2043,7355.4046
RE1,PWRWND001,2044,7599.7135
RE1,PWRWND001,2045,7922.5596
RE1,PWRWND001,2046,8133.366
RE1,PWRWND001,2047,8363.6933
RE1,PWRWND001,2048,9088.3233
RE1,PWRWND001,2049,9162.1047
RE1,PWRWND001,2050,9162.1047
RE1,PWRWND001,2051,9162.1047
RE1,PWRWND001,2052,9240.8554
RE1,PWRWND001,2053,9320.3146
RE1,PWRWND001,2054,9400.489
RE1,PWRWND001,2055,9481.3853
RE1,PWRWND001,2056,9563.0103
RE1,PWRWND001,2057,9645.3707
RE1,PWRWND001,2058,9728.4734
RE1,PWRWND001,2059,9812.3254
RE1,PWRWND001,2060,9896.9338
RE1,PWRWND001,2061,9982.3056
RE1,PWRWND001,2062,10068.448
RE1,PWRWND001,2063,10155.368
RE1,PWRWND001,2064,10243.073
RE1,PWRWND001,2065,10331.571
RE1,PWRWND001,2066,10420.868
RE1,PWRWND001,2067,10510.973
RE1,PWRWND001,2068,10601.893
RE1,PWRWND001,2069,10693.636
RE1,PWRWND001,2070,9571.4438
RE1,PWRWND002,2028,787.9526
RE1,PWRWND002,2029,1861.4848
RE1,PWRWND002,2030,2220.8701
RE1,PWRWND002,2031,2339.362
RE1,PWRWND002,2032,2482.2265
RE1,PWRWND002,2033,2625.671
RE1,PWRWND002,2034,2780.1584
RE1,PWRWND002,2035,2966.0788
RE1,PWRWND002,2036,3147.4372
RE1,PWRWND002,2037,3307.4515
RE1,PWRWND002,2038,3528.3977
RE1,PWRWND002,2039,3780.666
RE1,PWRWND002,2040,3751.806
RE1,PWRWND002,2041,4295.5507
RE1,PWRWND002,2042,4538.2352
RE1,PWRWND002,2043,4754.4007
RE1,PWRWND002,2044,4873.6378
RE1,PWRWND002,2045,5040.3538
RE1,PWRWND002,2046,5133.0736
RE1,PWRWND002,2047,5235.8681
RE1,PWRWND002,2048,5351.3241
RE1,PWRWND002,2049,5642.4291
RE1,PWRWND002,2050,5595.7974
RE1,PWRWND002,2051,5595.7974
RE1,PWRWND002,2052,5643.8948
RE1,PWRWND002,2053,5692.4249
RE1,PWRWND002,2054,5741.3918
RE1,PWRWND002,2055,5790.7995
RE1,PWRWND002,2056,5840.6524
RE1,PWRWND002,2057,5890.9544
RE1,PWRWND002,2058,5941.7097
RE1,PWRWND002,2059,5992.9227
RE1,PWRWND002,2060,6044.5977
RE1,PWRWND002,2061,6096.7389
RE1,PWRWND002,2062,6149.3507
RE1,PWRWND002,2063,6202.4375
RE1,PWRWND002,2064,6256.0039
RE1,PWRWND002,2065,6310.0542
RE1,PWRWND002,2066,6364.5931
RE1,PWRWND002,2067,6419.6251
RE1,PWRWND002,2068,6475.1549
RE1,PWRWND002,2069,6531.1872
RE1,PWRWND002,2070,6587.7265
RE1,PWRSOL001S,2023,3.4373
RE1,PWRSOL001S,2024,200.1376
RE1,PWRSOL001S,2025,389.1617
RE1,PWRSOL001S,2026,389.3018
RE1,PWRSOL001S,2027,388.6793
RE1,PWRSOL001S,2028,395.789
RE1,PWRSOL001S,2029,408.4955
RE1,PWRSOL001S,2030,432.8705
RE1,PWRSOL001S,2031,450.5366
RE1,PWRSOL001S,2032,471.7519
RE1,PWRSOL001S,2033,492.7381
RE1,PWRSOL001S,2034,514.4701
RE1,PWRSOL001S,2035,541.5705
RE1,PWRSOL001S,2036,567.1236
RE1,PWRSOL001S,2037,588.5197
RE1,PWRSOL001S,2038,619.1056
RE1,PWRSOL001S,2039,654.6033
RE1,PWRSOL001S,2040,688.6173
RE1,PWRSOL001S,2041,732.5951
RE1,PWRSOL001S,2042,774.6554
RE1,PWRSOL001S,2043,811.3219
RE1,PWRSOL001S,2044,832.4052
RE1,PWRSOL001S,2045,860.6342
RE1,PWRSOL001S,2046,877.2579
RE1,PWRSOL001S,2047,894.5709
RE1,PWRSOL001S,2048,915.1408
RE1,PWRSOL001S,2049,935.0728
RE1,PWRSOL001S,2050,949.4215
RE1,PWRSOL001S,2051,957.5788
RE1,PWRSOL001S,2052,965.8094
RE1,PWRSOL001S,2053,974.1141
RE1,PWRSOL001S,2054,982.4936
RE1,PWRSOL001S,2055,990.9485
RE1,PWRSOL001S,2056,999.4795
RE1,PWRSOL001S,2057,1008.0874
RE1,PWRSOL001S,2058,1016.7729
RE1,PWRSOL001S,2059,1025.5367
RE1,PWRSOL001S,2060,1034.3796
RE1,PWRSOL001S,2061,1043.3022
RE1,PWRSOL001S,2062,1052.3054
RE1,PWRSOL001S,2063,1061.3899
RE1,PWRSOL001S,2064,1070.5564
RE1,PWRSOL001S,2065,1079.8058
RE1,PWRSOL001S,2066,1089.1387
RE1,PWRSOL001S,2067,1098.556
RE1,PWRSOL001S,2068,1108.0585
RE1,PWRSOL001S,2069,1117.647
RE1,PWRSOL001S,2070,1127.3223
RE1,PWRWND001S,2033,607.1307
RE1,PWRWND001S,2034,1503.0428
RE1,PWRWND001S,2035,2210.037
RE1,PWRWND001S,2036,2965.2192
RE1,PWRWND001S,2037,3899.1351
RE1,PWRWND001S,2038,4711.0251
RE1,PWRWND001S,2039,5447.4427
RE1,PWRWND001S,2040,5437.2158
RE1,PWRWND001S,2041,5764.3438
RE1,PWRWND001S,2042,6855.3989
RE1,PWRWND001S,2043,8157.6327
RE1,PWRWND001S,2044,9947.3212
RE1,PWRWND001S,2045,10538.47
RE1,PWRWND001S,2046,12352.925
RE1,PWRWND001S,2047,14557.129
RE1,PWRWND001S,2048,15142.74
RE1,PWRWND001S,2049,15990.735
RE1,PWRWND001S,2050,16042.65
RE1,PWRWND001S,2051,16053.132
RE1,PWRWND001S,2052,16191.113
RE1,PWRWND001S,2053,16330.335
RE1,PWRWND001S,2054,16470.81
RE1,PWRWND001S,2055,16612.551
RE1,PWRWND001S,2056,16755.568
RE1,PWRWND001S,2057,16899.873
RE1,PWRWND001S,2058,17045.479
RE1,PWRWND001S,2059,17192.398
RE1,PWRWND001S,2060,17340.643
RE1,PWRWND001S,2061,17490.224
RE1,PWRWND001S,2062,17641.156
RE1,PWRWND001S,2063,17793.451
RE1,PWRWND001S,2064,17947.121
RE1,PWRWND001S,2065,18102.18
RE1,PWRWND001S,2066,18258.64
RE1,PWRWND001S,2067,18416.515
RE1,PWRWND001S,2068,18575.818
RE1,PWRWND001S,2069,18736.563
RE1,PWRWND001S,2070,18898.762
RE1,PWRTRN,2015,175.1791
RE1,PWRTRN,2016,175.1791
RE1,PWRTRN,2017,175.1791
RE1,PWRTRN,2018,175.1791
RE1,PWRTRN,2019,175.1791
RE1,PWRTRN,2020,175.1791
RE1,PWRTRN,2021,175.1791
RE1,PWRTRN,2022,175.1791
RE1,PWRTRN,2023,175.1791
RE1,PWRTRN,2024,175.1791
RE1,PWRTRN,2025,191.6564
RE1,PWRTRN,2026,191.6564
RE1,PWRTRN,2027,200.4567
RE1,PWRTRN,2028,207.0646
RE1,PWRTRN,2029,220.4799
RE1,PWRTRN,2030,233.7622
RE1,PWRTRN,2031,260.1525
RE1,PWRTRN,2032,270.0661
RE1,PWRTRN,2033,285.117
RE1,PWRTRN,2034,302.8929
RE1,PWRTRN,2035,320.9599
RE1,PWRTRN,2036,348.1095
RE1,PWRTRN,2037,377.0749
RE1,PWRTRN,2038,408.0499
RE1,PWRTRN,2039,440.0708
RE1,PWRTRN,2040,474.5871
RE1,PWRTRN,2041,512.1414
RE1,PWRTRN,2042,553.4764
RE1,PWRTRN,2043,594.8705
RE1,PWRTRN,2044,631.6458
RE1,PWRTRN,2045,654.4087
RE1,PWRTRN,2046,695.5162
RE1,PWRTRN,2047,736.2025
RE1,PWRTRN,2048,738.934
RE1,PWRTRN,2049,781.3366
RE1,PWRTRN,2050,890.8837
RE1,PWRTRN,2051,918.3686
RE1,PWRTRN,2052,925.3408
RE1,PWRTRN,2053,933.1726
RE1,PWRTRN,2054,941.1436
RE1,PWRTRN,2055,949.1832
RE1,PWRTRN,2056,957.292
RE1,PWRTRN,2057,965.4707
RE1,PWRTRN,2058,973.7197
RE1,PWRTRN,2059,982.0398
RE1,PWRTRN,2060,990.4316
RE1,PWRTRN,2061,998.8957
RE1,PWRTRN,2062,1007.4329
RE1,PWRTRN,2063,1016.0436
RE1,PWRTRN,2064,1024.7287
RE1,PWRTRN,2065,1033.4887
RE1,PWRTRN,2066,1042.3243
RE1,PWRTRN,2067,1051.2363
RE1,PWRTRN,2068,1051.2363
RE1,PWRTRN,2069,1051.2363
RE1,PWRTRN,2070,1051.2363
RE1,PWRDIST,2015,87.5895
RE1,PWRDIST,2016,87.5895
RE1,PWRDIST,2017,87.5895
RE1,PWRDIST,2018,87.5895
RE1,PWRDIST,2019,87.5895
RE1,PWRDIST,2020,87.5895
RE1,PWRDIST,2021,87.5895
RE1,PWRDIST,2022,87.5895
RE1,PWRDIST,2023,87.5895
RE1,PWRDIST,2024,87.5895
RE1,PWRDIST,2025,90.2981
RE1,PWRDIST,2026,90.3277
RE1,PWRDIST,2027,94.5062
RE1,PWRDIST,2028,97.6534
RE1,PWRDIST,2029,104.0141
RE1,PWRDIST,2030,110.3163
RE1,PWRDIST,2031,122.8104
RE1,PWRDIST,2032,127.532
RE1,PWRDIST,2033,134.6834
RE1,PWRDIST,2034,143.127
RE1,PWRDIST,2035,151.7137
RE1,PWRDIST,2036,164.6007
RE1,PWRDIST,2037,178.3548
RE1,PWRDIST,2038,193.0688
RE1,PWRDIST,2039,208.2874
RE1,PWRDIST,2040,224.6972
RE1,PWRDIST,2041,242.5566
RE1,PWRDIST,2042,262.2187
RE1,PWRDIST,2043,281.9215
RE1,PWRDIST,2044,299.4475
RE1,PWRDIST,2045,310.3397
RE1,PWRDIST,2046,329.9413
RE1,PWRDIST,2047,349.3557
RE1,PWRDIST,2048,350.7658
RE1,PWRDIST,2049,371.0144
RE1,PWRDIST,2050,423.1697
RE1,PWRDIST,2051,436.2251
RE1,PWRDIST,2052,439.5369
RE1,PWRDIST,2053,443.257
RE1,PWRDIST,2054,447.0432
RE1,PWRDIST,2055,450.862
RE1,PWRDIST,2056,454.7137
