r,t,y,TotalCapacityAnnual
RE1,MINOIL,2024,2141.6499
RE1,MINBIO,2015,1083.1531
RE1,MINBIO,2016,1039.3006
RE1,MINBIO,2017,1077.9026
RE1,MINBIO,2018,1116.6381
RE1,MINBIO,2019,1137.3915
RE1,MINBIO,2020,1170.5173
RE1,MINBIO,2021,1197.7543
RE1,MINBIO,2022,1212.6691
RE1,MINBIO,2023,1227.5592
RE1,MINBIO,2024,1242.4259
RE1,MINBIO,2025,1257.2706
RE1,MINBIO,2026,1273.6359
RE1,MINBIO,2027,1289.9767
RE1,MINBIO,2028,1306.2942
RE1,MINBIO,2029,1322.5898
RE1,MINBIO,2030,1338.8647
RE1,MINBIO,2031,1181.6437
RE1,MINBIO,2032,1196.2983
RE1,MINBIO,2033,1210.9212
RE1,MINBIO,2034,1225.5141
RE1,MINBIO,2035,1312.9459
RE1,MINBIO,2036,1389.3213
RE1,MINBIO,2037,1544.9949
RE1,MINBIO,2038,1682.452
RE1,MINBIO,2039,1754.7989
RE1,MINBIO,2040,1823.4913
RE1,MINBIO,2041,1923.3735
RE1,MINBIO,2042,2035.1201
RE1,MINBIO,2043,2106.4582
RE1,MINBIO,2044,2218.0406
RE1,MINBIO,2045,2360.4906
RE1,MINBIO,2046,2411.68
RE1,MINBIO,2047,2469.1225
RE1,MINBIO,2048,2521.9895
RE1,MINBIO,2049,2573.4058
RE1,MINBIO,2050,7224.1047
RE1,MINBIO,2051,7374.4667
RE1,MINBIO,2052,7472.8915
RE1,MINBIO,2053,7564.1994
RE1,MINBIO,2054,7656.3319
RE1,MINBIO,2055,7749.2965
RE1,MINBIO,2056,7843.1013
RE1,MINBIO,2057,7937.754
RE1,MINBIO,2058,8033.2625
RE1,MINBIO,2059,8116.6502
RE1,MINBIO,2060,8248.8753
RE1,MINBIO,2061,8316.1394
RE1,MINBIO,2062,8415.0535
RE1,MINBIO,2063,8514.8634
RE1,MINBIO,2064,8624.7415
RE1,MINBIO,2065,8726.4702
RE1,MINBIO,2066,8829.1212
RE1,MINBIO,2067,8932.703
RE1,MINBIO,2068,9037.2247
RE1,MINBIO,2069,9105.0479
RE1,MINBIO,2070,8987.155
RE1,IMPCOA,2027,2640.3815
RE1,IMPCOA,2028,4069.8489
RE1,IMPCOA,2029,4056.773
RE1,IMPCOA,2030,4069.3698
RE1,IMPCOA,2031,4351.1199
RE1,IMPCOA,2032,4446.0163
RE1,IMPCOA,2033,4574.0742
RE1,IMPCOA,2034,4665.2356
RE1,IMPCOA,2035,4676.512
RE1,IMPCOA,2036,4686.412
RE1,IMPCOA,2037,4590.9723
RE1,IMPCOA,2038,4600.8516
RE1,IMPCOA,2039,4610.7211
RE1,IMPCOA,2040,4620.5812
RE1,IMPCOA,2041,4630.8548
RE1,IMPCOA,2042,4589.4358
