r,t,y,DiscountedSalvageValue
RE1,PWRBIO001,2047,18.4205
RE1,PWRBIO001,2048,27.5235
RE1,PWRBIO001,2049,30.3575
RE1,PWRBIO001,2050,4425.3446
RE1,PWRBIO001,2051,177.1618
RE1,PWRBIO001,2052,120.1512
RE1,PWRBIO001,2053,125.8082
RE1,PWRBIO001,2054,141.817
RE1,PWRBIO001,2055,157.3958
RE1,PWRBIO001,2056,172.5644
RE1,PWRBIO001,2057,187.3399
RE1,PWRBIO001,2058,201.7395
RE1,PWRBIO001,2059,183.0677
RE1,PWRBIO001,2060,515.7931
RE1,PWRBIO001,2061,333.9862
RE1,PWRBIO001,2062,671.0207
RE1,PWRBIO001,2063,645.4523
RE1,PWRBIO001,2064,496.4578
RE1,PWRBIO001,2065,474.7733
RE1,PWRBIO001,2066,595.903
RE1,PWRBIO001,2067,656.8014
RE1,PWRBIO001,2068,534.703
RE1,PWRBIO001,2069,560.4715
RE1,PWRCOA001,2019,41.9228
RE1,PWRCOA001,2020,819.1352
RE1,PWRCOA001,2021,37.0552
RE1,PWRCOA001,2022,50.0848
RE1,PWRCOA001,2023,53.4074
RE1,PWRCOA001,2024,432.4946
RE1,PWRCOA001,2025,34.3124
RE1,PWRCOA001,2026,125.9493
RE1,PWRCOA001,2027,74.4097
RE1,PWRCOA001,2031,270.2005
RE1,PWRCOA001,2032,74.5497
RE1,PWRCOA001,2033,106.9305
RE1,PWRCOA001,2034,74.9627
RE1,PWRGEO,2024,0.1953
RE1,PWRSOL001,2042,0.7865
RE1,PWRSOL001,2043,1.5354
RE1,PWRSOL001,2044,2.2482
RE1,PWRSOL001,2045,2.9269
RE1,PWRSOL001,2046,2.6082
RE1,PWRSOL001,2047,3.0574
RE1,PWRSOL001,2048,3.485
RE1,PWRSOL001,2049,3.8923
RE1,PWRSOL001,2050,367.2959
RE1,PWRSOL001,2051,21.0628
RE1,PWRSOL001,2052,8.5616
RE1,PWRSOL001,2053,9.2167
RE1,PWRSOL001,2054,9.8546
RE1,PWRSOL001,2055,373.7836
RE1,PWRSOL001,2056,17.4274
RE1,PWRSOL001,2057,22.1471
