r,t,y,AnnualFixedOperatingCost
RE1,PWROHC002,2069,40.6633
RE1,PWROHC002,2070,40.6633
RE1,PWRNGS001,2015,1121.7454
RE1,PWRNGS001,2016,1121.7454
RE1,PWRNGS001,2017,1121.7454
RE1,PWRNGS001,2018,1121.7454
RE1,PWRNGS001,2019,1121.7454
RE1,PWRNGS001,2020,1121.7454
RE1,PWRNGS001,2021,1121.7454
RE1,PWRNGS001,2022,1121.7454
RE1,PWRNGS001,2023,1121.7454
RE1,PWRNGS001,2024,1121.7454
RE1,PWRNGS001,2025,651.7468
RE1,PWRNGS001,2026,827.5415
RE1,PWRNGS001,2027,1034.2615
RE1,PWRNGS001,2028,1235.8548
RE1,PWRNGS001,2029,1437.5309
RE1,PWRNGS001,2030,1595.6303
RE1,PWRNGS001,2031,1792.2624
RE1,PWRNGS001,2032,1998.9824
RE1,PWRNGS001,2033,2171.5523
RE1,PWRNGS001,2034,2364.2153
RE1,PWRNGS001,2035,2449.5581
RE1,PWRNGS001,2036,2449.558
RE1,PWRNGS001,2037,2449.5579
RE1,PWRNGS001,2038,2330.9832
RE1,PWRNGS001,2039,2330.9832
RE1,PWRNGS001,2040,2301.8771
RE1,PWRNGS001,2041,2284.8433
RE1,PWRNGS001,2042,2284.8433
RE1,PWRNGS001,2043,2284.8433
RE1,PWRNGS001,2044,2218.6929
RE1,PWRNGS001,2045,2152.5425
RE1,PWRNGS001,2046,2152.5425
RE1,PWRNGS001,2047,2152.5425
RE1,PWRNGS001,2048,2152.5425
RE1,PWRNGS001,2049,2152.5425
RE1,PWRNGS001,2050,2152.5425
RE1,PWRNGS001,2051,2152.5425
RE1,PWRNGS001,2052,2152.5425
RE1,PWRNGS001,2053,2152.5425
RE1,PWRNGS001,2054,2152.5425
RE1,PWRNGS001,2055,1945.8225
RE1,PWRNGS001,2056,1739.1025
RE1,PWRNGS001,2057,1532.3825
RE1,PWRNGS001,2058,1325.6625
RE1,PWRNGS001,2059,1118.9425
RE1,PWRNGS001,2060,912.2225
RE1,PWRNGS001,2061,705.5025
RE1,PWRNGS001,2062,498.7825
RE1,PWRNGS001,2063,292.0625
RE1,PWRNGS001,2064,85.3425
RE1,PWRNGS001,2066,0.0001
RE1,PWRNGS001,2067,0.0002
RE1,PWRNGS001,2068,0.0002
RE1,PWRNGS001,2069,0.0002
RE1,PWRNGS001,2070,0.0002
RE1,PWRNGS002,2025,118.864
RE1,PWRNGS002,2026,237.728
RE1,PWRNGS002,2027,356.592
RE1,PWRNGS002,2028,446.3149
RE1,PWRNGS002,2029,446.3149
RE1,PWRNGS002,2030,446.3149
RE1,PWRNGS002,2031,446.3149
RE1,PWRNGS002,2032,446.3149
RE1,PWRNGS002,2033,446.3149
RE1,PWRNGS002,2034,446.3149
RE1,PWRNGS002,2035,446.3149
RE1,PWRNGS002,2036,446.3149
RE1,PWRNGS002,2037,446.3149
RE1,PWRNGS002,2038,446.3149
RE1,PWRNGS002,2039,446.3149
RE1,PWRNGS002,2040,446.3149
RE1,PWRNGS002,2041,446.3149
RE1,PWRNGS002,2042,446.3149
RE1,PWRNGS002,2043,446.3149
RE1,PWRNGS002,2044,446.3149
RE1,PWRNGS002,2045,446.3149
RE1,PWRNGS002,2046,446.3149
RE1,PWRNGS002,2047,446.3149
RE1,PWRNGS002,2048,446.3149
RE1,PWRNGS002,2049,446.3149
RE1,PWRNGS002,2050,446.3149
RE1,PWRNGS002,2051,446.3149
RE1,PWRNGS002,2052,446.3149
RE1,PWRNGS002,2053,446.3149
RE1,PWRNGS002,2054,446.3149
RE1,PWRNGS002,2055,327.4509
RE1,PWRNGS002,2056,208.5869
RE1,PWRNGS002,2057,89.7229
RE1,PWRNGS002,2058,-0.0
RE1,PWRNGS002,2059,-0.0
RE1,PWRNGS002,2060,-0.0
RE1,PWRNGS002,2061,-0.0
RE1,PWRNGS002,2062,-0.0
RE1,PWRNGS002,2063,-0.0
RE1,PWRNGS002,2064,-0.0
RE1,PWRNGS002,2065,-0.0
RE1,PWRNGS002,2066,0.0
RE1,PWRNGS002,2067,0.0
RE1,PWRNGS002,2068,-0.0
RE1,PWRNGS002,2069,-0.0
RE1,PWRNGS002,2070,-0.0
RE1,PWRSOL001,2015,34.639
RE1,PWRSOL001,2016,55.6577
RE1,PWRSOL001,2017,56.5469
RE1,PWRSOL001,2018,56.8104
RE1,PWRSOL001,2019,51.8928
RE1,PWRSOL001,2020,46.573
RE1,PWRSOL001,2021,45.0413
RE1,PWRSOL001,2022,42.3095
RE1,PWRSOL001,2023,39.5776
RE1,PWRSOL001,2024,36.8457
RE1,PWRSOL001,2025,39.6789
RE1,PWRSOL001,2026,44.3428
RE1,PWRSOL001,2027,48.7849
RE1,PWRSOL001,2028,53.0054
RE1,PWRSOL001,2029,57.0041
RE1,PWRSOL001,2030,60.7812
RE1,PWRSOL001,2031,64.5148
RE1,PWRSOL001,2032,68.0538
RE1,PWRSOL001,2033,71.3983
RE1,PWRSOL001,2034,74.5483
RE1,PWRSOL001,2035,64.704
RE1,PWRSOL001,2036,58.6972
RE1,PWRSOL001,2037,59.7115
RE1,PWRSOL001,2038,60.5197
RE1,PWRSOL001,2039,63.284
RE1,PWRSOL001,2040,61.9641
RE1,PWRSOL001,2041,61.3344
RE1,PWRSOL001,2042,61.3344
RE1,PWRSOL001,2043,61.3344
RE1,PWRSOL001,2044,61.3344
RE1,PWRSOL001,2045,61.3344
RE1,PWRSOL001,2046,61.3344
RE1,PWRSOL001,2047,61.3344
RE1,PWRSOL001,2048,61.3344
RE1,PWRSOL001,2049,61.3344
RE1,PWRSOL001,2050,61.3344
RE1,PWRSOL001,2051,61.3344
RE1,PWRSOL001,2052,61.3344
RE1,PWRSOL001,2053,61.3344
RE1,PWRSOL001,2054,102.4008
RE1,PWRSOL001,2055,122.6689
RE1,PWRSOL001,2056,122.6689
RE1,PWRSOL001,2057,122.6689
RE1,PWRSOL001,2058,122.6689
RE1,PWRSOL001,2059,122.6689
RE1,PWRSOL001,2060,118.5799
RE1,PWRSOL001,2061,122.6689
RE1,PWRSOL001,2062,122.6689
RE1,PWRSOL001,2063,122.6689
RE1,PWRSOL001,2064,122.6689
RE1,PWRSOL001,2065,122.6689
RE1,PWRSOL001,2066,122.6689
RE1,PWRSOL001,2067,122.6689
RE1,PWRSOL001,2068,122.6689
RE1,PWRSOL001,2069,122.6689
RE1,PWRSOL001,2070,122.6689
RE1,PWRCSP002,2015,0.6202
RE1,PWRCSP002,2016,0.6202
RE1,PWRCSP002,2017,0.6202
RE1,PWRCSP002,2018,0.6202
RE1,PWRCSP002,2019,0.6202
RE1,PWRCSP002,2020,0.6202
RE1,PWRCSP002,2021,0.6202
RE1,PWRCSP002,2022,0.6202
RE1,PWRCSP002,2023,0.6202
RE1,PWRCSP002,2024,0.6202
RE1,PWRCSP002,2025,0.6202
RE1,PWRCSP002,2026,0.6202
RE1,PWRCSP002,2027,0.6202
RE1,PWRCSP002,2028,0.6202
RE1,PWRCSP002,2029,0.6202
RE1,PWRCSP002,2030,0.6202
RE1,PWRCSP002,2031,0.6202
RE1,PWRCSP002,2032,0.6202
RE1,PWRCSP002,2033,0.6202
RE1,PWRCSP002,2034,0.6202
RE1,PWRCSP002,2035,0.6202
RE1,PWRCSP002,2036,0.6202
RE1,PWRCSP002,2037,0.6202
RE1,PWRCSP002,2038,0.6202
RE1,PWRCSP002,2039,0.6202
RE1,PWRCSP002,2040,0.6202
RE1,PWRCSP002,2041,0.6202
RE1,PWRCSP002,2042,0.6202
RE1,PWRCSP002,2043,0.6202
RE1,PWRHYD001,2015,173.6578
RE1,PWRHYD001,2016,173.6578
RE1,PWRHYD001,2017,173.6578
RE1,PWRHYD001,2018,173.6578
RE1,PWRHYD001,2019,173.6578
RE1,PWRHYD001,2020,173.6578
RE1,PWRHYD001,2021,173.6578
RE1,PWRHYD001,2022,173.6578
RE1,PWRHYD001,2023,173.6578
RE1,PWRHYD001,2024,173.6578
RE1,PWRHYD001,2025,208.2794
RE1,PWRHYD001,2026,208.2794
RE1,PWRHYD001,2027,208.2794
RE1,PWRHYD001,2028,208.2794
RE1,PWRHYD001,2029,208.2794
RE1,PWRHYD001,2030,208.2794
RE1,PWRHYD001,2031,208.2794
RE1,PWRHYD001,2032,208.2794
RE1,PWRHYD001,2033,208.2794
RE1,PWRHYD001,2034,208.2794
RE1,PWRHYD001,2035,208.2794
RE1,PWRHYD001,2036,208.2794
RE1,PWRHYD001,2037,208.2794
RE1,PWRHYD001,2038,208.2794
RE1,PWRHYD001,2039,208.2794
RE1,PWRHYD001,2040,208.2794
RE1,PWRHYD001,2041,208.2794
RE1,PWRHYD001,2042,208.2794
RE1,PWRHYD001,2043,208.2794
RE1,PWRHYD001,2044,208.2794
RE1,PWRHYD001,2045,208.2794
RE1,PWRHYD001,2046,208.2794
RE1,PWRHYD001,2047,208.2794
RE1,PWRHYD001,2048,208.2794
RE1,PWRHYD001,2049,208.2794
RE1,PWRHYD001,2050,208.2794
RE1,PWRHYD001,2051,34.6215
RE1,PWRHYD001,2052,34.6215
RE1,PWRHYD001,2053,34.6215
RE1,PWRHYD001,2054,34.6215
RE1,PWRHYD001,2055,34.6215
RE1,PWRHYD001,2056,34.6215
RE1,PWRHYD001,2057,34.6215
RE1,PWRHYD001,2058,34.6215
RE1,PWRHYD001,2059,34.6215
RE1,PWRHYD001,2060,34.6215
RE1,PWRHYD001,2061,34.6215
RE1,PWRHYD001,2062,34.6215
RE1,PWRHYD001,2063,34.6215
RE1,PWRHYD001,2064,34.6215
RE1,PWRHYD001,2066,-0.0
RE1,PWRHYD001,2067,-0.0
RE1,PWRHYD001,2068,-0.0
RE1,PWRHYD001,2069,-0.0
RE1,PWRHYD001,2070,-0.0
RE1,PWRHYD002,2015,7.31
RE1,PWRHYD002,2016,7.31
RE1,PWRHYD002,2017,7.31
RE1,PWRHYD002,2018,7.31
RE1,PWRHYD002,2019,7.31
RE1,PWRHYD002,2020,7.31
RE1,PWRHYD002,2021,7.31
RE1,PWRHYD002,2022,7.31
RE1,PWRHYD002,2023,7.31
RE1,PWRHYD002,2024,7.31
RE1,PWRHYD002,2025,8.7673
RE1,PWRHYD002,2026,8.7673
RE1,PWRHYD002,2027,8.7673
RE1,PWRHYD002,2028,8.7673
RE1,PWRHYD002,2029,8.7673
RE1,PWRHYD002,2030,8.7673
RE1,PWRHYD002,2031,8.7673
RE1,PWRHYD002,2032,8.7673
RE1,PWRHYD002,2033,8.7673
RE1,PWRHYD002,2034,8.7673
RE1,PWRHYD002,2035,8.7673
RE1,PWRHYD002,2036,8.7673
RE1,PWRHYD002,2037,8.7673
RE1,PWRHYD002,2038,8.7673
RE1,PWRHYD002,2039,8.7673
RE1,PWRHYD002,2040,8.7673
RE1,PWRHYD002,2041,8.7673
RE1,PWRHYD002,2042,8.7673
RE1,PWRHYD002,2043,8.7673
RE1,PWRHYD002,2044,8.7673
RE1,PWRHYD002,2045,8.7673
RE1,PWRHYD002,2046,8.7673
RE1,PWRHYD002,2047,8.7673
RE1,PWRHYD002,2048,8.7673
RE1,PWRHYD002,2049,8.7673
RE1,PWRHYD002,2050,8.7673
RE1,PWRHYD002,2051,1.4574
RE1,PWRHYD002,2052,1.4574
RE1,PWRHYD002,2053,1.4574
RE1,PWRHYD002,2054,1.4574
RE1,PWRHYD002,2055,1.4574
RE1,PWRHYD002,2056,1.4574
RE1,PWRHYD002,2057,1.4574
RE1,PWRHYD002,2058,1.4574
RE1,PWRHYD002,2059,1.4574
RE1,PWRHYD002,2060,1.4574
RE1,PWRHYD002,2061,1.4574
RE1,PWRHYD002,2062,1.4574
RE1,PWRHYD002,2063,1.4574
RE1,PWRHYD002,2064,1.4574
RE1,PWRHYD002,2065,0.0
RE1,PWRHYD002,2066,0.0
RE1,PWRHYD002,2067,0.0
RE1,PWRHYD002,2068,0.0
RE1,PWRHYD002,2069,0.0
RE1,PWRHYD002,2070,0.0
RE1,PWRHYD003,2025,42.2348
RE1,PWRHYD003,2026,42.2348
RE1,PWRHYD003,2027,42.2348
RE1,PWRHYD003,2028,42.2348
RE1,PWRHYD003,2029,42.2348
RE1,PWRHYD003,2030,42.2348
RE1,PWRHYD003,2031,42.2348
RE1,PWRHYD003,2032,42.2348
RE1,PWRHYD003,2033,42.2348
RE1,PWRHYD003,2034,42.2348
RE1,PWRHYD003,2035,42.2348
RE1,PWRHYD003,2036,42.2348
RE1,PWRHYD003,2037,42.2348
RE1,PWRHYD003,2038,42.2348
RE1,PWRHYD003,2039,42.2348
RE1,PWRHYD003,2040,42.2348
RE1,PWRHYD003,2041,42.2348
RE1,PWRHYD003,2042,42.2348
RE1,PWRHYD003,2043,42.2348
RE1,PWRHYD003,2044,42.2348
RE1,PWRHYD003,2045,42.2348
RE1,PWRHYD003,2046,42.2348
RE1,PWRHYD003,2047,42.2348
RE1,PWRHYD003,2048,42.2348
RE1,PWRHYD003,2049,42.2348
RE1,PWRHYD003,2050,42.2348
RE1,PWRHYD003,2051,42.2348
RE1,PWRHYD003,2052,42.2348
RE1,PWRHYD003,2053,42.2348
RE1,PWRHYD003,2054,42.2348
RE1,PWRHYD003,2055,42.2348
RE1,PWRHYD003,2056,42.2348
RE1,PWRHYD003,2057,42.2348
RE1,PWRHYD003,2058,42.2348
RE1,PWRHYD003,2059,42.2348
RE1,PWRHYD003,2060,42.2348
RE1,PWRHYD003,2061,42.2348
RE1,PWRHYD003,2062,42.2348
RE1,PWRHYD003,2063,42.2348
RE1,PWRHYD003,2064,42.2348
RE1,PWRHYD003,2067,-0.0
RE1,PWRHYD003,2068,-0.0
RE1,PWRHYD003,2069,-0.0
RE1,PWRHYD003,2070,-0.0
RE1,PWRWND001,2015,28.6329
RE1,PWRWND001,2016,58.9376
RE1,PWRWND001,2017,69.1633
RE1,PWRWND001,2018,114.7315
RE1,PWRWND001,2019,147.5392
RE1,PWRWND001,2020,138.3238
RE1,PWRWND001,2021,136.1355
RE1,PWRWND001,2022,130.4592
RE1,PWRWND001,2023,124.7829
RE1,PWRWND001,2024,119.1066
RE1,PWRWND001,2025,186.848
RE1,PWRWND001,2026,255.7204
RE1,PWRWND001,2027,322.0283
RE1,PWRWND001,2028,385.7719
RE1,PWRWND001,2029,446.9511
RE1,PWRWND001,2030,505.5659
RE1,PWRWND001,2031,556.3489
RE1,PWRWND001,2032,603.3346
RE1,PWRWND001,2033,646.5231
RE1,PWRWND001,2034,685.9143
RE1,PWRWND001,2035,721.5083
RE1,PWRWND001,2036,763.3207
RE1,PWRWND001,2037,820.8343
RE1,PWRWND001,2038,878.3479
RE1,PWRWND001,2039,935.8615
RE1,PWRWND001,2040,935.8615
RE1,PWRWND001,2041,935.8615
RE1,PWRWND001,2042,935.8615
RE1,PWRWND001,2043,935.8615
RE1,PWRWND001,2044,935.8615
RE1,PWRWND001,2045,935.8615
RE1,PWRWND001,2046,935.8615
RE1,PWRWND001,2047,891.8636
RE1,PWRWND001,2048,885.7096
RE1,PWRWND001,2049,885.7096
RE1,PWRWND001,2050,862.7042
RE1,PWRWND001,2051,862.7042
RE1,PWRWND001,2052,862.7042
RE1,PWRWND001,2053,862.7042
RE1,PWRWND001,2054,862.7042
RE1,PWRWND001,2055,805.1906
RE1,PWRWND001,2056,747.677
RE1,PWRWND001,2057,690.1633
RE1,PWRWND001,2058,632.6497
RE1,PWRWND001,2059,575.1361
RE1,PWRWND001,2060,517.6225
RE1,PWRWND001,2061,460.1089
RE1,PWRWND001,2062,402.5953
RE1,PWRWND001,2063,345.0817
RE1,PWRWND001,2064,287.5681
RE1,PWRWND001,2065,230.0544
RE1,PWRWND001,2066,172.5408
RE1,PWRWND001,2067,115.0272
RE1,PWRWND001,2068,57.5136
RE1,PWRWND001,2069,344.8946
RE1,PWRWND001,2070,344.8946
RE1,PWRWND002,2025,78.3735
RE1,PWRWND002,2026,146.8728
RE1,PWRWND002,2027,205.4978
RE1,PWRWND002,2028,254.2487
RE1,PWRWND002,2029,293.1254
RE1,PWRWND002,2030,381.3731
RE1,PWRWND002,2031,441.7572
RE1,PWRWND002,2032,501.2332
RE1,PWRWND002,2033,559.8012
RE1,PWRWND002,2034,617.4612
RE1,PWRWND002,2035,674.2132
RE1,PWRWND002,2036,730.0571
RE1,PWRWND002,2037,784.993
RE1,PWRWND002,2038,839.0208
RE1,PWRWND002,2039,892.1406
RE1,PWRWND002,2040,885.3304
RE1,PWRWND002,2041,878.5202
RE1,PWRWND002,2042,871.7099
RE1,PWRWND002,2043,864.8997
RE1,PWRWND002,2044,858.0895
RE1,PWRWND002,2045,851.2792
RE1,PWRWND002,2046,844.469
RE1,PWRWND002,2047,837.6588
RE1,PWRWND002,2048,830.8485
RE1,PWRWND002,2049,824.0383
RE1,PWRWND002,2050,817.2281
RE1,PWRWND002,2051,817.2281
RE1,PWRWND002,2052,817.2281
RE1,PWRWND002,2053,817.2281
RE1,PWRWND002,2054,817.2281
RE1,PWRWND002,2055,762.7462
RE1,PWRWND002,2056,708.2643
RE1,PWRWND002,2057,653.7824
RE1,PWRWND002,2058,599.3006
RE1,PWRWND002,2059,544.8187
RE1,PWRWND002,2060,490.3368
RE1,PWRWND002,2061,435.855
RE1,PWRWND002,2062,381.3731
RE1,PWRWND002,2063,326.8912
RE1,PWRWND002,2064,272.4094
RE1,PWRWND002,2065,217.9275
RE1,PWRWND002,2066,163.4456
RE1,PWRWND002,2067,108.9637
RE1,PWRWND002,2068,54.4819
RE1,PWRNUC,2035,285.2736
RE1,PWRNUC,2036,570.5472
RE1,PWRNUC,2037,998.4576
RE1,PWRNUC,2038,1426.368
RE1,PWRNUC,2039,1996.9152
RE1,PWRNUC,2040,2567.4624
RE1,PWRNUC,2041,3280.6464
RE1,PWRNUC,2042,4136.4672
RE1,PWRNUC,2043,5134.9248
RE1,PWRNUC,2044,6276.0192
RE1,PWRNUC,2045,7417.1136
RE1,PWRNUC,2046,8558.208
RE1,PWRNUC,2047,9699.3024
RE1,PWRNUC,2048,10840.397
RE1,PWRNUC,2049,11981.491
RE1,PWRNUC,2050,13122.586
RE1,PWRNUC,2051,13122.586
RE1,PWRNUC,2052,13122.586
RE1,PWRNUC,2053,13122.586
RE1,PWRNUC,2054,13122.586
RE1,PWRNUC,2055,13122.586
RE1,PWRNUC,2056,13122.586
RE1,PWRNUC,2057,13122.586
RE1,PWRNUC,2058,13122.586
RE1,PWRNUC,2059,13122.586
RE1,PWRNUC,2060,13122.586
RE1,PWRNUC,2061,13122.586
RE1,PWRNUC,2062,13122.586
RE1,PWRNUC,2063,13122.586
RE1,PWRNUC,2064,13122.586
RE1,PWRNUC,2065,13122.586
RE1,PWRNUC,2066,13122.586
RE1,PWRNUC,2067,13122.586
RE1,PWRNUC,2068,13122.586
RE1,PWRNUC,2069,13122.586
RE1,PWRNUC,2070,13122.586
RE1,PWRSOL001S,2025,6.6529
RE1,PWRSOL001S,2026,12.8769
RE1,PWRSOL001S,2027,18.672
RE1,PWRSOL001S,2028,24.0381
RE1,PWRSOL001S,2029,28.9753
RE1,PWRSOL001S,2030,33.4835
RE1,PWRSOL001S,2031,38.3233
RE1,PWRSOL001S,2032,42.91
RE1,PWRSOL001S,2033,47.3212
RE1,PWRSOL001S,2034,51.4691
RE1,PWRSOL001S,2035,55.4518
RE1,PWRSOL001S,2036,59.2548
RE1,PWRSOL001S,2037,62.9187
RE1,PWRSOL001S,2038,66.3142
RE1,PWRSOL001S,2039,69.5808
RE1,PWRSOL001S,2040,68.0332
RE1,PWRSOL001S,2041,67.4906
RE1,PWRSOL001S,2042,67.0255
RE1,PWRSOL001S,2043,66.4828
RE1,PWRSOL001S,2044,66.0177
