r,t,y,NewCapacity
RE1,MINOIL,2024,2141.6499
RE1,MINBIO,2015,1083.1531
RE1,MINBIO,2016,1039.3006
RE1,MINBIO,2017,1077.9026
RE1,MINBIO,2018,1116.6381
RE1,MINBIO,2019,1137.3915
RE1,MINBIO,2020,1170.5173
RE1,MINBIO,2021,1197.7543
RE1,MINBIO,2022,1212.6691
RE1,MINBIO,2023,1227.5592
RE1,MINBIO,2024,1242.4259
RE1,MINBIO,2025,1257.2706
RE1,MINBIO,2026,1273.6359
RE1,MINBIO,2027,1289.9767
RE1,MINBIO,2028,1306.2942
RE1,MINBIO,2029,1322.5898
RE1,MINBIO,2030,1338.8647
RE1,MINBIO,2031,1181.6437
RE1,MINBIO,2032,1196.2983
RE1,MINBIO,2033,1210.9212
RE1,MINBIO,2034,1225.5141
RE1,MINBIO,2035,1240.0786
RE1,MINBIO,2036,1252.8549
RE1,MINBIO,2037,1265.615
RE1,MINBIO,2038,1278.3595
RE1,MINBIO,2039,1291.0891
RE1,MINBIO,2040,1303.8042
RE1,MINBIO,2041,1316.7339
RE1,MINBIO,2042,1329.653
RE1,MINBIO,2043,1342.5617
RE1,MINBIO,2044,1355.4606
RE1,MINBIO,2045,1368.3499
RE1,MINBIO,2046,1353.6227
RE1,MINBIO,2047,1338.9489
RE1,MINBIO,2048,1336.6245
RE1,MINBIO,2049,1346.4763
RE1,MINBIO,2050,1343.9129
RE1,MINBIO,2051,1341.7018
RE1,MINBIO,2052,1351.8642
RE1,MINBIO,2053,1362.1048
RE1,MINBIO,2054,1372.4242
RE1,MINBIO,2055,1382.8231
RE1,MINBIO,2056,1393.3021
RE1,MINBIO,2057,1403.8619
RE1,MINBIO,2058,1414.5029
RE1,MINBIO,2059,1425.2259
RE1,MINBIO,2060,1436.0315
RE1,MINBIO,2061,1446.9204
RE1,MINBIO,2062,1457.8931
RE1,MINBIO,2063,1468.9504
RE1,MINBIO,2064,1480.0929
RE1,MINBIO,2065,1491.3212
RE1,MINBIO,2066,1502.6361
RE1,MINBIO,2067,1514.0382
RE1,MINBIO,2068,1525.5282
RE1,MINBIO,2069,1537.1067
RE1,MINBIO,2070,1362.1471
RE1,IMPCOA,2027,1004.9658
RE1,IMPCOA,2028,3487.3502
RE1,IMPCOA,2029,3474.2743
RE1,IMPCOA,2030,3486.8711
RE1,IMPCOA,2031,3457.0363
RE1,IMPCOA,2032,3468.3716
RE1,IMPCOA,2033,3479.6861
RE1,IMPCOA,2034,3490.9811
RE1,IMPCOA,2035,3502.2574
RE1,IMPCOA,2036,3512.1574
RE1,IMPCOA,2037,3416.7178
RE1,IMPCOA,2038,3426.5971
RE1,IMPCOA,2039,3436.4666
RE1,IMPCOA,2040,3446.3267
RE1,IMPCOA,2041,3498.4999
RE1,IMPCOA,2042,3571.8759
