r,t,f,y,ProductionByTechnologyAnnual
RE1,COMENEFFDP,COMELC,2021,19.3811
RE1,COMENEFFDP,COMELC,2022,38.762
RE1,COMENEFFDP,COMELC,2023,58.143
RE1,COMENEFFDP,COMELC,2024,77.5239
RE1,COMENEFFDP,COMELC,2025,96.905
RE1,COMENEFFDP,COMELC,2026,116.286
RE1,COMENEFFDP,COMELC,2027,135.667
RE1,COMENEFFDP,COMELC,2028,155.048
RE1,COMENEFFDP,COMELC,2029,174.4291
RE1,COMENEFFDP,COMELC,2030,193.81
RE1,COMENEFFDP,COMELC,2031,193.81
RE1,COMENEFFDP,COMELC,2032,193.81
RE1,COMENEFFDP,COMELC,2033,193.81
RE1,COMENEFFDP,COMELC,2034,193.81
RE1,COMENEFFDP,COMELC,2035,193.81
RE1,COMENEFFDP,COMELC,2036,193.81
RE1,COMENEFFDP,COMELC,2037,193.81
RE1,COMENEFFDP,COMELC,2038,193.81
RE1,COMENEFFDP,COMELC,2039,193.81
RE1,COMENEFFDP,COMELC,2040,213.191
RE1,COMENEFFDP,COMELC,2041,232.572
RE1,COMENEFFDP,COMELC,2042,251.953
RE1,COMENEFFDP,COMELC,2043,271.3341
RE1,COMENEFFDP,COMELC,2044,290.715
RE1,COMENEFFDP,COMELC,2045,310.096
RE1,COMENEFFDP,COMELC,2046,329.477
RE1,COMENEFFDP,COMELC,2047,348.858
RE1,COMENEFFDP,COMELC,2048,367.4093
RE1,COMENEFFDP,COMELC,2049,383.919
RE1,COMENEFFDP,COMELC,2050,384.9357
RE1,COMENEFFDP,COMELC,2051,402.63
RE1,COMENEFFDP,COMELC,2052,413.4745
RE1,COMENEFFDP,COMELC,2053,418.0868
RE1,COMENEFFDP,COMELC,2054,422.7505
RE1,COMENEFFDP,COMELC,2055,427.4662
RE1,COMENEFFDP,COMELC,2056,432.2345
RE1,COMENEFFDP,COMELC,2057,437.056
RE1,COMENEFFDP,COMELC,2058,441.9313
RE1,COMENEFFDP,COMELC,2059,446.861
RE1,COMENEFFDP,COMELC,2060,451.8457
RE1,COMENEFFDP,COMELC,2061,456.8859
RE1,COMENEFFDP,COMELC,2062,461.9824
RE1,COMENEFFDP,COMELC,2063,467.1357
RE1,COMENEFFDP,COMELC,2064,472.3466
RE1,COMENEFFDP,COMELC,2065,477.6155
RE1,COMENEFFDP,COMELC,2066,482.9433
RE1,COMENEFFDP,COMELC,2067,488.3304
RE1,COMENEFFDP,COMELC,2068,493.7776
RE1,COMENEFFDP,COMELC,2069,499.2857
RE1,COMENEFFDP,COMELC,2070,504.8551
RE1,COMENEFFGD,COMELC,2021,156.0256
RE1,COMENEFFGD,COMELC,2022,156.0256
RE1,COMENEFFGD,COMELC,2023,155.7397
RE1,COMENEFFGD,COMELC,2024,153.1554
RE1,COMENEFFGD,COMELC,2025,145.3251
RE1,COMENEFFGD,COMELC,2026,135.4547
RE1,COMENEFFGD,COMELC,2027,123.0307
RE1,COMENEFFGD,COMELC,2028,110.6068
RE1,COMENEFFGD,COMELC,2029,98.1828
RE1,COMENEFFGD,COMELC,2030,85.7589
RE1,COMENEFFGD,COMELC,2031,86.6982
RE1,COMENEFFGD,COMELC,2032,95.8624
RE1,COMENEFFGD,COMELC,2033,104.875
RE1,COMENEFFGD,COMELC,2034,112.7026
RE1,COMENEFFGD,COMELC,2035,120.1107
RE1,COMENEFFGD,COMELC,2036,126.8321
RE1,COMENEFFGD,COMELC,2037,134.7544
RE1,COMENEFFGD,COMELC,2038,139.4356
RE1,COMENEFFGD,COMELC,2039,146.6182
RE1,COMENEFFGD,COMELC,2040,136.7637
RE1,COMENEFFGD,COMELC,2041,110.8626
RE1,COMENEFFGD,COMELC,2042,99.45
RE1,COMENEFFGD,COMELC,2043,87.5312
RE1,COMENEFFGD,COMELC,2044,77.2707
RE1,COMENEFFGD,COMELC,2045,66.6079
RE1,COMENEFFGD,COMELC,2046,53.3639
RE1,COMENEFFGD,COMELC,2047,38.7791
RE1,COMENEFFGD,COMELC,2048,28.265
RE1,COMENEFFGD,COMELC,2049,16.2226
RE1,COMENEFFGD,COMELC,2050,19.4664
RE1,DEMCOMELC,COMELC,2015,169.2528
RE1,DEMCOMELC,COMELC,2016,179.0399
RE1,DEMCOMELC,COMELC,2017,187.428
RE1,DEMCOMELC,COMELC,2018,195.8162
RE1,DEMCOMELC,COMELC,2019,204.2043
RE1,DEMCOMELC,COMELC,2020,212.5924
RE1,DEMCOMELC,COMELC,2021,43.6241
RE1,DEMCOMELC,COMELC,2022,30.6813
RE1,DEMCOMELC,COMELC,2023,18.0244
RE1,DEMCOMELC,COMELC,2024,7.666
RE1,DEMCOMELC,COMELC,2025,2.5535
RE1,DEMCOMELC,COMELC,2031,7.0126
RE1,DEMCOMELC,COMELC,2032,5.8002
RE1,DEMCOMELC,COMELC,2033,4.7395
RE1,DEMCOMELC,COMELC,2034,4.8637
RE1,DEMCOMELC,COMELC,2035,5.4074
RE1,DEMCOMELC,COMELC,2036,5.0879
RE1,DEMCOMELC,COMELC,2037,3.5673
RE1,DEMCOMELC,COMELC,2038,5.2878
RE1,DEMCOMELC,COMELC,2039,4.5071
RE1,DEMCOMELC,COMELC,2040,1.3823
RE1,DEMCOMELC,COMELC,2041,14.1713
RE1,DEMCOMELC,COMELC,2042,12.4718
RE1,DEMCOMELC,COMELC,2043,11.2785
RE1,DEMCOMELC,COMELC,2044,8.4268
RE1,DEMCOMELC,COMELC,2045,5.9774
RE1,DEMCOMELC,COMELC,2046,4.2055
RE1,DEMCOMELC,COMELC,2047,3.7744
RE1,DEMCOMELC,COMELC,2048,0.1022
RE1,DEMCOMELC,COMELC,2050,0.1045
RE1,DEMCOMELC,COMELC,2051,6.3888
RE1,DEMCOMELC,COMELC,2052,0.1068
RE1,DEMCOMELC,COMELC,2053,0.108
