r,t,y,CapitalInvestment
RE1,MINOIL,2020,0.2142
RE1,MINBIO,2015,0.1098
RE1,MINBIO,2016,0.1029
RE1,MINBIO,2017,0.1043
RE1,MINBIO,2018,0.107
RE1,MINBIO,2019,0.1091
RE1,MINBIO,2020,0.1111
RE1,MINBIO,2021,0.1089
RE1,MINBIO,2022,0.1065
RE1,MINBIO,2023,0.1041
RE1,MINBIO,2024,0.1015
RE1,MINBIO,2025,0.0988
RE1,MINBIO,2026,0.0962
RE1,MINBIO,2027,0.0934
RE1,MINBIO,2028,0.0943
RE1,MINBIO,2029,0.0955
RE1,MINBIO,2030,0.0883
RE1,MINBIO,2031,0.0694
RE1,MINBIO,2032,0.0666
RE1,MINBIO,2033,0.0637
RE1,MINBIO,2034,0.0608
RE1,MINBIO,2035,0.0577
RE1,MINBIO,2036,0.0545
RE1,MINBIO,2037,0.0511
RE1,MINBIO,2038,0.0477
RE1,MINBIO,2039,0.0442
RE1,MINBIO,2040,0.0406
RE1,MINBIO,2041,0.0369
RE1,MINBIO,2042,0.0332
RE1,MINBIO,2043,0.0293
RE1,MINBIO,2044,0.0254
RE1,MINBIO,2045,0.0214
RE1,MINBIO,2046,0.0172
RE1,MINBIO,2047,0.013
RE1,MINBIO,2048,0.0087
RE1,MINBIO,2049,0.0044
RE1,IMPCOA,2028,0.0505
RE1,IMPCOA,2029,0.3328
RE1,IMPCOA,2030,0.3341
RE1,IMPCOA,2031,0.3311
RE1,IMPCOA,2032,0.3322
RE1,IMPCOA,2033,0.3333
RE1,IMPCOA,2034,0.3345
RE1,IMPCOA,2035,0.3356
RE1,IMPCOA,2036,0.3366
RE1,IMPCOA,2037,0.3271
RE1,IMPCOA,2038,0.328
RE1,IMPCOA,2039,0.3132
RE1,IMPCOA,2040,0.2936
RE1,IMPCOA,2041,0.2556
RE1,IMPCOA,2042,0.2193
RE1,IMPCOA,2043,0.1815
RE1,IMPCOA,2044,0.1421
RE1,IMPCOA,2045,0.1518
RE1,IMPCOA,2046,0.1083
RE1,IMPCOA,2047,0.0638
RE1,IMPCOA,2048,0.0406
RE1,IMPCOA,2049,0.0205
RE1,MINCOA,2015,0.1202
RE1,MINCOA,2016,0.112
RE1,MINCOA,2017,0.1135
RE1,MINCOA,2018,0.1506
RE1,MINCOA,2019,0.1522
RE1,MINCOA,2020,0.1539
RE1,MINCOA,2021,0.155
RE1,MINCOA,2022,0.1589
RE1,MINCOA,2023,0.2168
RE1,MINCOA,2024,0.2995
RE1,MINCOA,2025,0.3155
RE1,MINCOA,2026,0.3316
RE1,MINCOA,2027,0.3329
RE1,MINCOA,2028,0.2836
RE1,IMPLFO,2015,0.5551
RE1,IMPLFO,2016,0.5743
RE1,IMPLFO,2017,0.5873
RE1,IMPLFO,2018,0.6018
RE1,IMPLFO,2019,0.6157
RE1,IMPLFO,2020,0.4369
RE1,IMPLFO,2021,0.6071
RE1,IMPLFO,2022,0.5961
RE1,IMPLFO,2023,0.5966
RE1,IMPLFO,2024,0.5841
RE1,IMPLFO,2025,0.5694
RE1,IMPLFO,2026,0.5579
RE1,IMPLFO,2027,0.5441
RE1,IMPLFO,2028,0.5295
RE1,IMPLFO,2029,0.514
RE1,IMPLFO,2030,0.4978
RE1,IMPLFO,2031,0.4794
RE1,IMPLFO,2032,0.4603
RE1,IMPLFO,2033,0.4405
RE1,IMPLFO,2034,0.4201
RE1,IMPLFO,2035,0.3989
RE1,IMPLFO,2036,0.3767
RE1,IMPLFO,2037,0.3538
RE1,IMPLFO,2038,0.3303
RE1,IMPLFO,2039,0.3062
RE1,IMPLFO,2040,0.2814
RE1,IMPLFO,2041,0.2559
RE1,IMPLFO,2042,0.2298
RE1,IMPLFO,2043,0.2032
RE1,IMPLFO,2044,0.1759
RE1,IMPLFO,2045,0.1481
RE1,IMPLFO,2046,0.1194
RE1,IMPLFO,2047,0.0902
RE1,IMPLFO,2048,0.0606
RE1,IMPLFO,2049,0.0305
RE1,MINNGS,2015,0.0785
RE1,MINNGS,2016,0.0818
RE1,MINNGS,2017,0.0847
RE1,MINNGS,2018,0.0705
RE1,MINNGS,2019,0.0767
RE1,MINNGS,2020,0.0829
RE1,MINNGS,2021,0.0819
RE1,MINNGS,2022,0.082
RE1,MINNGS,2023,0.0464
RE1,MINSOL,2015,0.0019
RE1,MINSOL,2016,0.0019
RE1,MINSOL,2017,0.0019
RE1,MINSOL,2018,0.0019
RE1,MINSOL,2019,0.0019
RE1,MINSOL,2020,0.0019
RE1,MINSOL,2021,0.0181
RE1,MINSOL,2022,0.0389
RE1,MINSOL,2023,0.0456
RE1,MINSOL,2024,0.0491
RE1,MINSOL,2025,0.0533
RE1,MINSOL,2026,0.0665
RE1,MINSOL,2027,0.0733
RE1,MINSOL,2028,0.079
RE1,MINSOL,2029,0.0828
RE1,MINSOL,2030,0.109
RE1,MINSOL,2031,0.1136
RE1,MINSOL,2032,0.1335
RE1,MINSOL,2033,0.1423
RE1,MINSOL,2034,0.1518
RE1,MINSOL,2035,0.1631
RE1,MINSOL,2036,0.1744
RE1,MINSOL,2037,0.1846
RE1,MINSOL,2038,0.1985
RE1,MINSOL,2039,0.2143
RE1,MINSOL,2040,0.2248
RE1,MINSOL,2041,0.2338
RE1,MINSOL,2042,0.2424
RE1,MINSOL,2043,0.2504
RE1,MINSOL,2044,0.2553
RE1,MINSOL,2045,0.2946
RE1,MINSOL,2046,0.3037
RE1,MINSOL,2047,0.3028
RE1,MINSOL,2048,0.3388
RE1,MINSOL,2049,0.3775
RE1,MINSOL,2050,0.4275
RE1,MINSOL,2051,0.4304
RE1,MINSOL,2052,0.4334
RE1,MINSOL,2053,0.437
RE1,MINSOL,2054,0.4407
RE1,MINSOL,2055,0.4445
RE1,MINSOL,2056,0.4482
RE1,MINSOL,2057,0.452
RE1,MINSOL,2058,0.4558
RE1,MINSOL,2059,0.4597
RE1,MINSOL,2060,0.4636
RE1,MINSOL,2061,0.4675
RE1,MINSOL,2062,0.4714
RE1,MINSOL,2063,0.4754
RE1,MINSOL,2064,0.4795
RE1,MINSOL,2065,0.4835
RE1,MINSOL,2066,0.4876
RE1,MINSOL,2067,0.4917
RE1,MINSOL,2068,0.489
RE1,MINSOL,2069,0.4862
RE1,MINSOL,2070,0.5043
RE1,MINWND,2015,0.0001
RE1,MINWND,2016,0.0001
RE1,MINWND,2017,0.0001
RE1,MINWND,2018,0.0001
RE1,MINWND,2019,0.0001
RE1,MINWND,2020,0.0001
RE1,MINWND,2021,0.0001
RE1,MINWND,2022,0.0001
RE1,MINWND,2023,0.0001
RE1,MINWND,2024,0.0001
RE1,MINWND,2025,0.0001
RE1,MINWND,2026,0.0043
RE1,MINWND,2027,0.0145
RE1,MINWND,2028,0.0239
RE1,MINWND,2029,0.0341
RE1,MINWND,2030,0.0362
RE1,MINWND,2031,0.0519
RE1,MINWND,2032,0.058
RE1,MINWND,2033,0.0712
RE1,MINWND,2034,0.083
RE1,MINWND,2035,0.0947
RE1,MINWND,2036,0.1063
RE1,MINWND,2037,0.119
RE1,MINWND,2038,0.1292
RE1,MINWND,2039,0.1379
RE1,MINWND,2040,0.151
RE1,MINWND,2041,0.1642
RE1,MINWND,2042,0.181
RE1,MINWND,2043,0.199
RE1,MINWND,2044,0.2186
RE1,MINWND,2045,0.2295
