r,t,y,DiscountedSalvageValue
RE1,DEMTRAMCYGSL,2064,24.4691
RE1,DEMTRAMCYGSL,2065,2.1
RE1,DEMTRAMCYGSL,2066,2.2743
RE1,DEMTRAMCYGSL,2067,2.4226
RE1,DEMTRAMCYGSL,2068,2.5612
RE1,DEMTRAMCYGSL,2069,2.6907
RE1,DEMTRAMCYGSL,2070,2.812
RE1,DEMTRACARGSL,2053,0.1936
RE1,DEMTRACARGSL,2054,0.2795
RE1,DEMTRACARGSL,2055,0.359
RE1,DEMTRACARGSL,2056,0.4327
RE1,DEMTRACARGSL,2057,0.501
RE1,DEMTRACARGSL,2058,0.5643
RE1,DEMTRACARGSL,2059,0.6232
RE1,DEMTRACARGSL,2060,1.5091
RE1,DEMTRACARGSL,2061,1.5727
RE1,DEMTRACARGSL,2062,1.6683
RE1,DEMTRACARGSL,2063,1.7563
RE1,DEMTRACARGSL,2064,1.8375
RE1,DEMTRACARGSL,2065,1.9125
RE1,DEMTRACARGSL,2066,1.7541
RE1,DEMTRACARGSL,2067,1.8118
RE1,DEMTRACARGSL,2068,1.8652
RE1,DEMTRACARGSL,2069,111.6672
RE1,DEMTRACARGSL,2070,1.0636
RE1,DEMTRABUSGSL,2052,0.0
RE1,DEMTRABUSGSL,2053,0.0
RE1,DEMTRABUSGSL,2054,0.0
RE1,DEMTRABUSGSL,2055,0.0
RE1,DEMTRABUSGSL,2056,0.0
RE1,DEMTRABUSGSL,2057,0.0
RE1,DEMTRABUSGSL,2058,0.0
RE1,DEMTRABUSGSL,2059,0.0
RE1,DEMTRABUSGSL,2060,0.0
RE1,DEMTRABUSGSL,2061,0.0
RE1,DEMTRABUSGSL,2062,0.0
RE1,DEMTRABUSGSL,2063,0.0
RE1,DEMTRABUSGSL,2064,0.0
RE1,DEMTRABUSGSL,2065,0.0
RE1,DEMTRABUSGSL,2066,0.0
RE1,DEMTRABUSGSL,2067,0.0
RE1,DEMTRABUSGSL,2068,0.0
RE1,DEMTRABUSGSL,2069,0.0
RE1,DEMTRABUSGSL,2070,0.0
RE1,DEMINDELC,2062,0.0
RE1,DEMINDELC,2063,0.0
RE1,DEMINDELC,2064,0.0
RE1,DEMINDELC,2065,0.0
RE1,DEMINDELC,2066,0.0
RE1,DEMINDELC,2067,0.0
RE1,DEMINDELC,2068,0.0
RE1,DEMINDELC,2069,0.0
RE1,DEMINDELC,2070,0.0
RE1,DEMINDHEBIO,2057,0.1361
RE1,DEMINDHEBIO,2058,0.26
RE1,DEMINDHEBIO,2059,0.3726
RE1,DEMINDHEBIO,2060,12.4054
RE1,DEMINDHEBIO,2061,0.5038
RE1,DEMINDHEBIO,2062,0.5794
RE1,DEMINDHEBIO,2063,0.6483
RE1,DEMINDHEBIO,2064,0.7113
RE1,DEMINDHEBIO,2065,0.769
RE1,DEMINDHEBIO,2066,0.7876
RE1,DEMINDHEBIO,2067,1.0659
RE1,DEMINDHEBIO,2068,1.2528
RE1,DEMINDHEBIO,2069,1.3095
RE1,DEMINDHEBIO,2070,1.3618
RE1,DEMRESELC,2062,0.0
RE1,DEMRESELC,2063,0.0
RE1,DEMRESELC,2064,0.0
RE1,DEMRESELC,2065,0.0
RE1,DEMRESELC,2066,0.0
RE1,DEMRESELC,2067,0.0
RE1,DEMRESELC,2068,0.0
RE1,DEMRESELC,2069,0.0
RE1,DEMRESELC,2070,0.0
RE1,DEMRESCKNOIL,2052,0.0208
RE1,DEMRESCKNOIL,2053,0.0397
RE1,DEMRESCKNOIL,2054,0.0569
RE1,DEMRESCKNOIL,2055,0.0725
RE1,DEMRESCKNOIL,2056,0.0852
RE1,DEMRESCKNOIL,2057,0.0979
RE1,DEMRESCKNOIL,2058,0.1095
RE1,DEMRESCKNOIL,2059,0.0273
RE1,DEMRESCKNOIL,2060,0.0296
RE1,DEMRESCKNOIL,2061,0.0316
RE1,DEMRESCKNOIL,2062,0.0335
RE1,DEMRESCKNOIL,2063,0.0353
RE1,DEMRESCKNOIL,2064,0.0369
RE1,DEMRESCKNOIL,2065,0.0384
RE1,DEMRESCKNOIL,2066,0.0346
RE1,DEMRESCKNOIL,2067,0.1987
RE1,DEMRESCKNOIL,2068,0.2051
RE1,DEMRESCKNOIL,2069,0.2098
RE1,DEMRESCKNOIL,2070,0.2141
RE1,DEMRESCKNBIO,2052,0.0257
RE1,DEMRESCKNBIO,2053,0.0491
RE1,DEMRESCKNBIO,2054,0.0703
RE1,DEMRESCKNBIO,2055,0.0897
RE1,DEMRESCKNBIO,2056,0.1059
RE1,DEMRESCKNBIO,2057,0.1217
RE1,DEMRESCKNBIO,2058,0.1361
RE1,DEMRESCKNBIO,2059,0.024
RE1,DEMRESCKNBIO,2060,0.0259
RE1,DEMRESCKNBIO,2061,0.0277
RE1,DEMRESCKNBIO,2062,0.0294
RE1,DEMRESCKNBIO,2063,0.031
RE1,DEMRESCKNBIO,2064,0.0324
RE1,DEMRESCKNBIO,2065,0.0337
RE1,DEMRESCKNBIO,2066,0.0304
RE1,DEMRESCKNBIO,2067,0.0314
RE1,DEMRESCKNBIO,2068,0.0323
RE1,DEMRESCKNBIO,2069,0.0331
RE1,DEMRESCKNBIO,2070,0.0982
RE1,DEMRESHEBIO,2057,0.0329
RE1,DEMRESHEBIO,2058,0.0629
RE1,DEMRESHEBIO,2059,0.0901
RE1,DEMRESHEBIO,2060,2.4797
RE1,DEMRESHEBIO,2061,0.122
RE1,DEMRESHEBIO,2062,0.1402
RE1,DEMRESHEBIO,2063,0.1568
RE1,DEMRESHEBIO,2064,0.2682
RE1,DEMRESHEBIO,2065,0.2928
RE1,DEMRESHEBIO,2066,0.2742
RE1,DEMRESHEBIO,2067,0.2904
RE1,DEMRESHEBIO,2068,0.3053
RE1,DEMRESHEBIO,2069,0.3189
RE1,DEMRESHEBIO,2070,0.3316
RE1,DEMCOMELC,2062,0.0
RE1,DEMCOMELC,2063,0.0
RE1,DEMCOMELC,2064,0.0
RE1,DEMCOMELC,2065,0.0
RE1,DEMCOMELC,2066,0.0
RE1,DEMCOMELC,2067,0.0
RE1,DEMCOMELC,2068,0.0
RE1,DEMCOMELC,2069,0.0
RE1,DEMCOMELC,2070,0.0
RE1,DEMCOMHEBIO,2057,0.0162
RE1,DEMCOMHEBIO,2058,0.031
RE1,DEMCOMHEBIO,2059,0.0444
RE1,DEMCOMHEBIO,2060,1.0972
RE1,DEMCOMHEBIO,2061,0.1216
RE1,DEMCOMHEBIO,2062,0.1034
RE1,DEMCOMHEBIO,2063,0.1157
RE1,DEMCOMHEBIO,2064,0.1269
RE1,DEMCOMHEBIO,2065,0.1372
RE1,DEMCOMHEBIO,2066,0.1347
RE1,DEMCOMHEBIO,2067,0.1428
RE1,DEMCOMHEBIO,2068,0.1503
RE1,DEMCOMHEBIO,2069,0.1572
RE1,DEMCOMHEBIO,2070,0.1636
RE1,DEMINDHECOA,2057,0.2599
RE1,DEMINDHECOA,2058,0.4969
RE1,DEMINDHECOA,2059,0.713
RE1,DEMINDHECOA,2060,23.7618
RE1,DEMINDHECOA,2061,0.9659
RE1,DEMINDHECOA,2062,1.1113
RE1,DEMINDHECOA,2063,1.2442
RE1,DEMINDHECOA,2064,1.3656
RE1,DEMINDHECOA,2065,1.4766
RE1,DEMINDHECOA,2066,1.5125
RE1,DEMINDHECOA,2067,2.0474
RE1,DEMINDHECOA,2068,2.4067
RE1,DEMINDHECOA,2069,2.516
RE1,DEMINDHECOA,2070,2.6166
